workingday_0,workingday_1,weather_1,weather_2,weather_3,weather_4,holiday_0,holiday_1,count1,count2,count3,count4,count5,count6,season,year,hour,weekday,temp,humidity,windspeed
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.5877040817560433,-3.053367051299153,-3.0523738680267503,-1.3264008045560802,-0.7202743404856318,-0.5700934816619968,1,2011,7,6,0.2,0.86,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-2.3147402529792513,-2.5868564376906873,-3.0523738680267503,-3.052144878093687,-1.3263311492566567,-0.720225086625914,1,2011,8,6,0.24,0.75,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.6544345869071413,-2.3139652225413183,-2.585988370069585,-3.052144878093687,-3.052050777605245,-1.3262767918400942,1,2011,9,6,0.32,0.76,0.0
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-1.2776947267709036,-1.6538352104737561,-2.31317034288448,-2.585782984646999,-3.052050777605245,-3.0519818880390663,1,2011,10,6,0.38,0.76,0.2537
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.6418721819291059,-1.2771955703848483,-1.6532173741552552,-2.3129787652153713,-2.5856954901813225,-3.0519818880390663,1,2011,11,6,0.36,0.81,0.2836
1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,-0.34442523192200086,-0.641542166566552,-1.2766787468032514,-1.6530591977536242,-2.3128951350252906,-2.5856305277564355,1,2011,12,6,0.42,0.77,0.2836
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.07146140314520925,-0.3441743431679164,-0.6411958218278803,-1.2765396276193373,-1.6529849153334772,-2.312832469830795,1,2011,13,6,0.46,0.72,0.2985
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.004260084093223163,-0.07128312801854768,-0.3439077508889209,-0.6410888654436813,-1.2764706786041846,-1.652927807191175,1,2011,14,6,0.46,0.72,0.2836
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.08514263282640247,0.004418215848190116,-0.07108972370381643,-0.3438158407259617,-0.6410289175974917,-1.2764167410587342,1,2011,15,6,0.44,0.77,0.2985
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.11007924793443377,0.08527924826807236,0.0045913174674071765,-0.07101162129433447,-0.3437601037563388,-0.6409803310572637,1,2011,16,6,0.42,0.82,0.2985
1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,-0.0029401089907236866,0.11020922975696534,0.0854306633909034,0.004665589539245495,-0.07095974860030788,-0.34371402049347294,1,2011,17,6,0.44,0.82,0.2836
